"","Label","Type","Reference","NWFSC biased","WDFW biased","WDFW w/ ADFG","NWFSC w/ ADFG","M est","NMT prior, fixed","NMT prior, est.","h est","2011 h value","2011 L-W","2011 maturity","spline maturity","2011 fecundity","All years -50%","All years +50%","Comm. -50%","Comm. +50%","Rec. -50%","Rec. +50%","Lumped comp data","No rec devs","Est. dome sel","harm. mean wgting","1 area","2 sex","Rec. sel. dome"
"180",NA,"Early_RecrDev_1956",-0.344444,-0.296003,0.0601689,-0.335167,-0.342731,-0.48512,-0.538984,-0.488808,-0.342073,-0.323833,-0.343229,-0.342983,-0.344343,-0.3443,-0.343598,-0.344446,-0.340037,-0.347556,-0.352751,-0.341203,-0.296003,NA,-0.307989,-0.351296,-0.334911,-0.292733,-0.343604
"181",NA,"Early_RecrDev_1957",-0.271874,-0.271266,0.00379008,-0.248762,-0.278479,-0.428918,-0.490071,-0.433061,-0.269533,-0.249686,-0.27085,-0.270604,-0.271768,-0.271926,-0.271207,-0.271876,-0.266813,-0.275499,-0.280883,-0.268221,-0.271266,NA,-0.247581,-0.311813,-0.256662,-0.243461,-0.271213
"182",NA,"Early_RecrDev_1958",-0.172862,-0.224823,-0.00434912,-0.137542,-0.18258,-0.351189,-0.421037,-0.355902,-0.170589,-0.148434,-0.171887,-0.17166,-0.172751,-0.172959,-0.172222,-0.172865,-0.167291,-0.176826,-0.182628,-0.168852,-0.224823,NA,-0.160019,-0.267924,-0.151692,-0.181522,-0.17223
"183",NA,"Early_RecrDev_1959",-0.0869048,-0.172411,0.00564173,-0.0520155,-0.0905631,-0.289307,-0.368132,-0.294638,-0.0849851,-0.059495,-0.0857107,-0.0855243,-0.0867927,-0.0867001,-0.0859858,-0.0869073,-0.0814563,-0.090573,-0.096941,-0.0828952,-0.172411,NA,-0.0828824,-0.243477,-0.0580571,-0.134337,-0.0859937
"184",NA,"Early_RecrDev_1960",-0.0805529,-0.163408,0.0128487,-0.0629573,-0.0758469,-0.298042,-0.382324,-0.303775,-0.0796741,-0.0504587,-0.0788571,-0.0787345,-0.0804571,-0.0795876,-0.0790055,-0.0805553,-0.0764017,-0.0828161,-0.08947,-0.0772843,-0.163408,NA,-0.0789358,-0.265304,-0.0420788,-0.129836,-0.0790128
"185",NA,"Early_RecrDev_1961",-0.19518,-0.258149,0.0124223,-0.189872,-0.194301,-0.408695,-0.492371,-0.414398,-0.195548,-0.164838,-0.193196,-0.193112,-0.195114,-0.193569,-0.193191,-0.195183,-0.192725,-0.195795,-0.201986,-0.192988,-0.258149,NA,-0.195011,-0.347309,-0.148434,-0.182557,-0.193197
"186",NA,"Early_RecrDev_1962",-0.364946,-0.417814,-0.0405249,-0.358624,-0.37283,-0.568921,-0.650243,-0.574444,-0.365892,-0.335965,-0.363166,-0.363049,-0.364905,-0.363272,-0.363041,-0.364948,-0.363511,-0.364757,-0.370106,-0.363459,-0.417814,NA,-0.373904,-0.456101,-0.311824,-0.270872,-0.363047
"187",NA,"Early_RecrDev_1963",-0.489458,-0.535879,-0.169595,-0.480746,-0.497969,-0.690239,-0.771454,-0.695719,-0.49038,-0.46178,-0.488165,-0.487935,-0.489433,-0.4881,-0.48794,-0.48946,-0.488589,-0.489063,-0.493558,-0.488382,-0.535879,NA,-0.514713,-0.527041,-0.429483,-0.342419,-0.487945
"188",NA,"Early_RecrDev_1964",-0.49522,-0.53396,-0.276315,-0.489814,-0.497411,-0.702212,-0.786732,-0.70788,-0.495752,-0.468322,-0.494455,-0.494041,-0.495209,-0.494255,-0.49412,-0.495222,-0.495014,-0.494647,-0.498387,-0.494577,-0.53396,NA,-0.539435,-0.498358,-0.42735,-0.343292,-0.494125
"189",NA,"Early_RecrDev_1965",-0.357146,-0.375808,-0.254104,-0.356364,-0.342317,-0.583091,-0.675178,-0.58926,-0.357479,-0.32889,-0.356744,-0.356082,-0.357153,-0.356345,-0.35625,-0.357148,-0.358242,-0.355846,-0.359028,-0.357271,-0.375808,NA,-0.415269,-0.346729,-0.281077,-0.25551,-0.356255
"190",NA,"Early_RecrDev_1966",-0.162619,-0.126714,-0.10009,-0.150911,-0.118933,-0.415406,-0.51694,-0.422238,-0.163965,-0.128488,-0.162467,-0.161522,-0.162662,-0.161662,-0.161718,-0.162621,-0.165764,-0.159837,-0.162469,-0.163958,-0.126714,NA,-0.219092,-0.157332,-0.0791004,-0.133638,-0.161724
"191",NA,"Early_RecrDev_1967",-0.0309403,0.019409,-0.00493969,-0.0167497,-0.0113852,-0.292571,-0.39773,-0.299628,-0.0326785,0.00556906,-0.0315858,-0.030329,-0.0310126,-0.030418,-0.0305872,-0.030942,-0.0355128,-0.0274252,-0.0287802,-0.0332224,0.0194089,NA,-0.0834641,-0.0430957,0.0602399,-0.0272117,-0.0305925
"192",NA,"Early_RecrDev_1968",0.15922,0.183964,-0.00791151,0.177671,0.157231,-0.11288,-0.222138,-0.12016,0.158113,0.196212,0.157283,0.158973,0.159134,0.1587,0.158544,0.159218,0.153392,0.162907,0.163306,0.156079,0.183964,NA,0.0924475,0.109148,0.264699,0.12241,0.158538
"193",NA,"Early_RecrDev_1969",0.375937,0.433651,0.0521699,0.403622,0.428318,0.0950586,-0.0183039,0.0876044,0.374678,0.416078,0.372317,0.374376,0.375835,0.374036,0.373847,0.375935,0.369029,0.379266,0.381771,0.372033,0.433651,NA,0.30136,0.282508,0.488486,0.286686,0.373841
"194",NA,"Early_RecrDev_1970",0.577834,0.493667,0.247437,0.492634,0.505782,0.31302,0.196478,0.305526,0.578086,0.604868,0.57508,0.576918,0.577756,0.576442,0.576365,0.577833,0.570703,0.581627,0.583899,0.573767,0.493667,NA,0.517123,0.426474,0.646465,0.458142,0.576359
"195",NA,"Early_RecrDev_1971",0.851921,0.788635,0.591119,0.877795,0.837931,0.488272,0.347908,0.479306,0.852805,0.902743,0.840335,0.84442,0.851824,0.843279,0.843388,0.851918,0.841344,0.851388,0.86143,0.845764,0.788635,NA,0.750916,0.658131,1.02938,0.569638,0.843379
"196",NA,"Early_RecrDev_1972",0.319125,0.332585,0.618023,0.361734,0.341908,0.0774957,-0.0291384,0.0708714,0.319854,0.347439,0.311761,0.314619,0.319087,0.313854,0.314011,0.319123,0.30972,0.32049,0.327611,0.313585,0.332585,NA,0.263856,0.291504,0.42145,0.237948,0.314007
"197",NA,"Early_RecrDev_1973",0.0155145,-0.0835162,0.438595,-0.0207472,-0.041018,-0.222639,-0.320892,-0.228878,0.0171302,0.0439506,0.00849105,0.0116439,0.0154981,0.0105364,0.0108628,0.0155128,0.00481312,0.0181753,0.0252326,0.00918824,-0.0835162,NA,-0.034859,0.00540309,0.114381,-0.00144008,0.0108572
"198",NA,"Early_RecrDev_1974",-0.0395164,-0.0712509,0.140273,-0.102633,-0.0237156,-0.278999,-0.375241,-0.285219,-0.0356812,-0.0169559,-0.0460278,-0.0425189,-0.0394906,-0.0442894,-0.0436117,-0.0395185,-0.0508342,-0.0360168,-0.0294636,-0.0461768,-0.0712509,NA,-0.108138,-0.0620029,0.0607943,-0.0443642,-0.0436187
"199",NA,"Early_RecrDev_1975",0.275531,0.231786,0.523384,0.285638,0.256621,-0.017382,-0.124563,-0.0245856,0.280711,0.306714,0.268262,0.273334,0.275603,0.270677,0.271761,0.275527,0.256957,0.284301,0.293031,0.264406,0.231786,NA,0.207927,0.216085,0.416465,0.158093,0.271752
"200",NA,"Early_RecrDev_1976",0.194094,0.216417,0.464118,0.220885,0.216918,-0.0607505,-0.154517,-0.06706,0.198831,0.224046,0.187692,0.192621,0.1942,0.189963,0.191103,0.194093,0.172454,0.205721,0.215761,0.180897,0.216417,NA,0.158427,0.23605,0.322566,0.161678,0.191095
"201",NA,"Early_RecrDev_1977",0.120746,0.112725,0.319499,0.13416,0.111684,-0.122345,-0.209421,-0.128127,0.12612,0.154089,0.114331,0.119622,0.120888,0.116597,0.117939,0.120742,0.0948213,0.135561,0.148191,0.104673,0.112725,NA,0.0883587,0.199224,0.261454,0.108346,0.117932
"202",NA,"Early_RecrDev_1978",-0.084721,-0.0761252,-0.0382472,-0.0479682,-0.0883739,-0.293342,-0.366549,-0.298195,-0.0819156,-0.0447336,-0.0895552,-0.0848413,-0.0845627,-0.087556,-0.0862934,-0.0847226,-0.106894,-0.0707363,-0.059425,-0.0987913,-0.0761252,NA,-0.0900471,0.0105675,0.0344767,-0.0112704,-0.0862987
"203",NA,"Early_RecrDev_1979",0.0396217,0.014844,-0.0418601,-0.0363505,0.00232475,-0.182103,-0.253121,-0.186894,0.0261457,0.157394,0.0352574,0.0394969,0.0397153,0.0383973,0.0389088,0.0396236,0.017157,0.0567631,0.0712166,0.0244827,0.0148443,NA,0.00051974,0.0318936,0.188598,0.0892849,0.0389134
"204",NA,"Main_RecrDev_1980",0.179426,0.278176,0.0764161,0.240798,0.244761,0.0239512,-0.0169917,0.0203717,0.215354,0.103757,0.186955,0.193682,0.179946,0.186413,0.190324,0.179418,0.144991,0.209324,0.210183,0.158835,0.278176,NA,0.299249,0.16645,0.295303,0.145209,0.190299
"205",NA,"Main_RecrDev_1981",0.436552,0.498981,0.259627,0.306413,0.446713,0.282557,0.25088,0.279377,0.455384,0.347674,0.445278,0.450822,0.436942,0.445859,0.448563,0.436548,0.407414,0.466117,0.467246,0.418149,0.498981,NA,0.501383,0.525509,0.506609,0.416311,0.44855
"206",NA,"Main_RecrDev_1982",0.692015,0.666858,0.564478,0.838974,0.66153,0.514121,0.489452,0.511286,0.684262,0.90806,0.694838,0.700116,0.692408,0.696997,0.699124,0.692017,0.658118,0.729189,0.74816,0.668,0.666858,NA,0.681625,0.866105,0.969481,0.517747,0.699129
"207",NA,"Main_RecrDev_1983",0.363578,0.356247,0.289721,0.295966,0.371093,0.317215,0.315943,0.316333,0.399231,0.166459,0.368111,0.372302,0.364126,0.365547,0.369504,0.363571,0.34177,0.381831,0.381735,0.350328,0.356248,NA,0.422978,0.299805,0.386504,0.322037,0.369482
"208",NA,"Main_RecrDev_1984",0.486744,0.491466,0.781903,0.514974,0.541994,0.395091,0.394028,0.394146,0.493206,0.583527,0.495534,0.500299,0.487361,0.494877,0.498603,0.486742,0.468331,0.517893,0.527011,0.472145,0.491465,NA,0.517777,0.178968,0.715944,0.390013,0.498599
"209",NA,"Main_RecrDev_1985",0.125623,0.0911858,0.388146,0.127358,0.12111,0.090823,0.100915,0.0908438,0.142539,0.13834,0.134415,0.138335,0.126211,0.132342,0.136149,0.125621,0.121125,0.144139,0.145104,0.12033,0.0911861,NA,0.208343,0.051839,0.225352,0.203832,0.136139
"210",NA,"Main_RecrDev_1986",-0.149304,-0.220725,-0.0571329,-0.138502,-0.164002,-0.156981,-0.137773,-0.156335,-0.128774,-0.154706,-0.140904,-0.137074,-0.148709,-0.143493,-0.139535,-0.149307,-0.148844,-0.133967,-0.134489,-0.151605,-0.220725,NA,-0.0398696,-0.161989,-0.0671001,-0.0765294,-0.139545
"211",NA,"Main_RecrDev_1987",-0.239466,-0.238697,-0.224765,-0.23441,-0.190788,-0.231288,-0.207736,-0.230183,-0.220965,-0.226349,-0.233263,-0.229541,-0.238887,-0.236177,-0.232192,-0.239468,-0.230946,-0.229508,-0.228699,-0.237511,-0.238697,NA,-0.155711,-0.370823,-0.157094,-0.22943,-0.2322
"212",NA,"Main_RecrDev_1988",-0.368109,-0.243569,-0.317817,-0.364879,-0.292009,-0.335798,-0.308947,-0.334224,-0.347621,-0.368523,-0.364344,-0.360771,-0.367552,-0.367844,-0.36378,-0.368112,-0.352271,-0.365662,-0.364312,-0.361737,-0.243569,NA,-0.29639,-0.548973,-0.295025,-0.348775,-0.363788
"213",NA,"Main_RecrDev_1989",-0.502389,-0.453878,-0.450787,-0.484029,-0.528924,-0.44664,-0.417615,-0.444631,-0.481581,-0.513014,-0.502185,-0.498876,-0.501842,-0.506119,-0.502055,-0.502391,-0.481463,-0.507199,-0.503946,-0.492852,-0.453878,NA,-0.415294,-0.651401,-0.44371,-0.468318,-0.502062
"214",NA,"Main_RecrDev_1990",-0.686327,-0.697401,-0.66382,-0.683067,-0.74218,-0.615983,-0.588209,-0.613809,-0.666716,-0.711264,-0.689585,-0.686796,-0.685797,-0.69366,-0.689794,-0.686329,-0.665082,-0.696028,-0.691126,-0.676118,-0.697401,NA,-0.582786,-0.736928,-0.651138,-0.607497,-0.689802
"215",NA,"Main_RecrDev_1991",-0.828326,-0.748911,-0.862414,-0.864379,-0.803785,-0.749049,-0.723072,-0.746878,-0.806523,-0.878115,-0.833584,-0.831187,-0.827806,-0.837751,-0.834,-0.828329,-0.811253,-0.839234,-0.833839,-0.819858,-0.748911,NA,-0.725878,-0.783945,-0.812655,-0.676823,-0.834009
"216",NA,"Main_RecrDev_1992",-0.609288,-0.460791,-0.724276,-0.678241,-0.556426,-0.529258,-0.508502,-0.527265,-0.591007,-0.673891,-0.617776,-0.616063,-0.608782,-0.62183,-0.618335,-0.609291,-0.595597,-0.622498,-0.615491,-0.602195,-0.460791,NA,-0.54121,-0.536685,-0.603987,-0.428956,-0.618344
"217",NA,"Main_RecrDev_1993",0.330884,0.31821,0.1508,0.345676,0.30734,0.416103,0.431283,0.418421,0.302033,0.413017,0.314654,0.312665,0.331312,0.311953,0.313699,0.33089,0.362389,0.306297,0.321182,0.34656,0.31821,NA,0.310342,0.23312,0.36594,0.374785,0.313715
"218",NA,"Main_RecrDev_1994",0.00675545,-0.204541,0.0772369,0.00336984,-0.0673283,0.076754,0.0999035,0.0782224,-0.0232553,0.0427575,0.0119628,0.00773185,0.00705491,0.0104938,0.0107859,0.00676081,0.0247815,0.00481232,-0.00251184,0.0163965,-0.204541,NA,0.038506,-0.0479675,0.0340275,-0.020246,0.0108009
"219",NA,"Main_RecrDev_1995",-0.747489,-0.701995,-0.759578,-0.741868,-0.666727,-0.689805,-0.677899,-0.688737,-0.768563,-0.74122,-0.749367,-0.753484,-0.747256,-0.750467,-0.75042,-0.747486,-0.736484,-0.754662,-0.755956,-0.741155,-0.701995,NA,-0.7474,-0.717146,-0.739461,-0.666307,-0.750411
"220",NA,"Main_RecrDev_1996",-0.77433,-0.7351,-0.789401,-0.765016,-0.761088,-0.731715,-0.728248,-0.731029,-0.811864,-0.722683,-0.778789,-0.784905,-0.774288,-0.778264,-0.779921,-0.774323,-0.763229,-0.784442,-0.783111,-0.767862,-0.7351,NA,-0.820764,-0.77312,-0.769772,-0.686973,-0.779903
"221",NA,"Main_RecrDev_1997",-0.589924,-0.465342,-0.620718,-0.58507,-0.544845,-0.565129,-0.568361,-0.56491,-0.637925,-0.530524,-0.593931,-0.600936,-0.590061,-0.592113,-0.595031,-0.589916,-0.582691,-0.599055,-0.597997,-0.585284,-0.465342,NA,-0.668197,-0.600421,-0.599537,-0.557,-0.595007
"222",NA,"Main_RecrDev_1998",-0.0559382,-0.0592779,-0.158256,-0.0513534,-0.151112,-0.043148,-0.0520267,-0.0432793,-0.114452,-0.0875404,-0.0593895,-0.0665235,-0.0561887,-0.0568891,-0.0604322,-0.0559298,-0.0510685,-0.0646802,-0.0646164,-0.0522411,-0.0592779,NA,-0.167099,-0.119519,-0.0787185,-0.0812786,-0.0604067
"223",NA,"Main_RecrDev_1999",0.595848,0.297602,0.565031,0.547354,0.466562,0.516312,0.475326,0.51442,0.427433,1.08075,0.585441,0.568166,0.594227,0.598632,0.584075,0.595881,0.609861,0.577496,0.585927,0.604079,0.297602,NA,0.288241,0.244292,0.536359,0.613248,0.584172
"224",NA,"Main_RecrDev_2000",-0.105031,0.164578,-0.091327,-0.123666,0.153974,-0.113351,-0.126096,-0.113919,-0.150309,-0.174399,-0.106946,-0.111677,-0.105557,-0.103489,-0.107647,-0.105025,-0.107627,-0.110739,-0.113215,-0.104822,0.164578,NA,-0.216094,-0.140807,-0.154325,-0.111169,-0.107628
"225",NA,"Main_RecrDev_2001",0.171259,0.345977,0.137928,0.313831,0.154695,0.160121,0.14184,0.159464,0.12909,0.045394,0.166017,0.161791,0.170765,0.169149,0.165281,0.171264,0.171956,0.160402,0.159934,0.173446,0.345977,NA,0.02884,0.173319,0.118866,0.237539,0.165298
"226",NA,"Main_RecrDev_2002",1.163,1.17678,1.18283,1.06956,1.25549,1.05098,0.997232,1.04858,1.00198,1.70827,1.1456,1.13277,1.1606,1.16148,1.14453,1.16303,1.17816,1.13647,1.14915,1.17243,1.17678,NA,0.778485,1.07197,1.09259,1.01693,1.14463
"227",NA,"Main_RecrDev_2003",0.413809,0.0197939,0.419216,0.462028,0.0641969,0.3825,0.353796,0.381398,0.380068,0.351592,0.40527,0.402921,0.412964,0.4095,0.404572,0.413813,0.414596,0.399917,0.402477,0.416025,0.0197939,NA,0.245764,0.492088,0.329338,0.330126,0.404586
"228",NA,"Main_RecrDev_2004",-0.381869,-0.377461,-0.369145,-0.379297,-0.319477,-0.402248,-0.42038,-0.403024,-0.406438,-0.285556,-0.386811,-0.389168,-0.38274,-0.382669,-0.387572,-0.381864,-0.380189,-0.392261,-0.392681,-0.37937,-0.377461,NA,-0.504196,-0.218796,-0.457374,-0.336008,-0.387558
"229",NA,"Main_RecrDev_2005",-0.13927,-0.29987,-0.16191,-0.160422,-0.218093,-0.170224,-0.196532,-0.171274,-0.166923,0.00688842,-0.147922,-0.150116,-0.140372,-0.142888,-0.148761,-0.139264,-0.13639,-0.153691,-0.150228,-0.136055,-0.29987,NA,-0.306845,-0.106681,-0.218897,-0.116787,-0.148744
"230",NA,"Main_RecrDev_2006",0.091375,0.0381095,0.0659157,0.0480444,0.0146549,0.0692294,0.0466863,0.0683036,0.0813027,0.194671,0.0848251,0.084045,0.0904265,0.0885706,0.0839659,0.0913777,0.0933799,0.0792146,0.0808203,0.0940959,0.0381095,NA,-0.0435085,0.119508,0.00529502,0.0972511,0.0839743
"231",NA,"Main_RecrDev_2007",0.30985,0.218994,0.350791,0.35224,0.246539,0.304718,0.291686,0.304108,0.320293,0.344924,0.308245,0.308888,0.309188,0.310279,0.307461,0.309849,0.307756,0.303614,0.300917,0.310467,0.218994,NA,0.253845,0.338338,0.21043,0.242652,0.307458
"232",NA,"Main_RecrDev_2008",0.723948,0.641303,0.665653,0.697047,0.751356,0.711067,0.686641,0.710172,0.742653,0.779313,0.716535,0.717756,0.723323,0.717913,0.715477,0.723946,0.728028,0.709415,0.711498,0.727924,0.641303,NA,0.572552,0.833718,0.633106,0.682804,0.715472
"233",NA,"Main_RecrDev_2009",0.403803,0.562255,0.385708,0.378639,0.465196,0.421447,0.416893,0.421329,0.447664,0.341717,0.402927,0.405472,0.403696,0.401536,0.402106,0.403796,0.40157,0.398079,0.393785,0.404459,0.562255,NA,0.409018,0.652943,0.324191,0.411255,0.402085
"234",NA,"Main_RecrDev_2010",0.452087,0.138842,0.526914,0.423624,0.206005,0.49076,0.505356,0.491094,0.511231,0.343409,0.462374,0.465631,0.452213,0.459976,0.461755,0.452077,0.440416,0.460684,0.447507,0.447706,0.138842,NA,0.567865,0.521092,0.355277,0.337581,0.461727
"235",NA,"Main_RecrDev_2011",0.381912,0.515191,0.379052,0.392359,0.547476,0.427414,0.438172,0.427885,0.448954,0.230588,0.386264,0.389586,0.382245,0.382469,0.385574,0.381901,0.374543,0.382886,0.373683,0.379982,0.515191,NA,0.472819,0.48187,0.314741,0.377454,0.38554
"236",NA,"Main_RecrDev_2012",-0.314275,-0.17889,-0.299519,-0.284465,-0.261518,-0.24852,-0.225393,-0.247602,-0.240325,-0.524985,-0.306199,-0.302587,-0.313749,-0.311058,-0.306715,-0.314289,-0.325198,-0.308325,-0.321369,-0.318081,-0.17889,NA,-0.143397,-0.158029,-0.372668,-0.31981,-0.306756
"237",NA,"Main_RecrDev_2013",-0.306591,-0.323228,-0.253138,-0.30237,-0.29789,-0.234199,-0.20303,-0.233061,-0.231074,-0.536687,-0.294605,-0.290921,-0.306014,-0.299646,-0.29499,-0.306606,-0.321592,-0.295026,-0.311298,-0.312645,-0.323228,NA,-0.0855644,-0.209405,-0.365821,-0.358795,-0.295032
"238",NA,"Main_RecrDev_2014",-0.333721,-0.229105,-0.279947,-0.326882,-0.275522,-0.259953,-0.22801,-0.258775,-0.260746,-0.571796,-0.322033,-0.318321,-0.333141,-0.327089,-0.322379,-0.333736,-0.348838,-0.322316,-0.338633,-0.339849,-0.229105,NA,-0.109517,-0.234458,-0.38755,-0.387085,-0.322421
"239",NA,"Main_RecrDev_2015",-0.196819,-0.181769,-0.183419,-0.190344,-0.178969,-0.127874,-0.101211,-0.126816,-0.127622,-0.429849,-0.187611,-0.184028,-0.19627,-0.192534,-0.187993,-0.196833,-0.21042,-0.18849,-0.202808,-0.20212,-0.181769,NA,-0.027908,-0.133836,-0.244518,-0.238983,-0.188034
"240",NA,"Late_RecrDev_2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",NA,"ForeRecr_2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",NA,"ForeRecr_2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",NA,"ForeRecr_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",NA,"ForeRecr_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245",NA,"ForeRecr_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",NA,"ForeRecr_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",NA,"ForeRecr_2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249",NA,"ForeRecr_2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",NA,"ForeRecr_2026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",NA,"ForeRecr_2027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",NA,"ForeRecr_2028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",NA,"Impl_err_2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",NA,"Impl_err_2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255",NA,"Impl_err_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",NA,"Impl_err_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"257",NA,"Impl_err_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",NA,"Impl_err_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",NA,"Impl_err_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260",NA,"Impl_err_2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",NA,"Impl_err_2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",NA,"Impl_err_2026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",NA,"Impl_err_2027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",NA,"Impl_err_2028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",NA,"LnQ_base_3_CA_REC(3)",-9.15145,-9.21264,-9.04485,-9.14949,-9.15699,-9.53311,-9.75354,-9.54573,-9.22545,-8.98975,-9.14342,-9.15497,-9.15186,-9.14616,-8.45705,-9.55692,-8.85813,-9.3879,-8.89439,-9.36794,-9.21264,-9.19118,-8.99129,-9.22143,-10.5409,-9.2363,-9.15018
